# File: policy_tech_mappings.csv,,,
# Title: Policy technology mapping,,,
# Units: NA,,,
# Column types: cccc,,,
# ----------,,,
tech_mapping,supplysector,subsector,stub.technology
TPES_CHINA,elec_Gen_II_LWR,Gen_II_LWR,Gen_II_LWR (cooling pond)
TPES_CHINA,elec_Gen_II_LWR,Gen_II_LWR,Gen_II_LWR (once through)
TPES_CHINA,elec_Gen_II_LWR,Gen_II_LWR,Gen_II_LWR (recirculating)
TPES_CHINA,elec_Gen_II_LWR,Gen_II_LWR,Gen_II_LWR (seawater)
TPES_CHINA,elec_geothermal,geothermal,geothermal (dry_hybrid)
TPES_CHINA,elec_geothermal,geothermal,geothermal (recirculating)
TPES_CHINA,elect_td_bld,rooftop_pv,rooftop_pv
TPES_CHINA,electricity,hydro,hydro
TPES_CHINA,electricity,solar,PV
TPES_CHINA,electricity,solar,PV_storage
TPES_CHINA,electricity,wind,wind
TPES_CHINA,electricity,wind,wind_offshore
TPES_CHINA,electricity,wind,wind_storage
TPES_CHINA,chemical feedstocks,gas,gas
TPES_CHINA,chemical feedstocks,refined liquids,refined liquids
TPES_CHINA,construction feedstocks,refined liquids,refined liquids
TPES_CHINA,other industrial feedstocks,coal,coal
TPES_CHINA,other industrial feedstocks,refined liquids,refined liquids
TPES_CHINA,refined liquids bunkers,refined liquids bunkers,refined liquids bunkers
FE_NO_PV,delivered biomass,delivered biomass,delivered biomass
FE_NO_PV,delivered coal,delivered coal,delivered coal
FE_NO_PV,delivered biomass industry,delivered biomass industry,delivered biomass industry
FE_NO_PV,delivered coal industry,delivered coal industry,delivered coal industry
FE_NO_PV,wholesale gas,wholesale gas,wholesale gas
FE_NO_PV,delivered gas,delivered gas,delivered gas
FE_NO_PV,delivered gas transport,delivered gas transport,delivered gas transport
FE_NO_PV,refined liquids enduse,refined liquids enduse,refined liquids enduse
FE_NO_PV,refined liquids transport,refined liquids transport,refined liquids transport
FE_NO_PV,refined liquids industrial,refined liquids industrial,refined liquids industrial
FE_NO_PV,H2 wholesale delivery,H2 liquid truck,H2 liquid truck
FE_NO_PV,H2 wholesale delivery,H2 pipeline,H2 pipeline
FE_NO_PV,H2 industrial,forecourt production,electrolysis
FE_NO_PV,H2 wholesale dispensing,H2 delivery,H2 liquid truck
FE_NO_PV,H2 wholesale dispensing,H2 delivery,H2 pipeline
FE_NO_PV,H2 wholesale dispensing,forecourt production,electrolysis
FE_NO_PV,H2 wholesale dispensing,forecourt production,natural gas steam reforming
FE_NO_PV,elect_td_bld,elect_td_bld,elect_td_bld
FE_NO_PV,elect_td_ind,elect_td_ind,elect_td_ind
FE_NO_PV,elect_td_trn,elect_td_trn,elect_td_trn
IND_EN,elect_td_ind,elect_td_ind,elect_td_ind
IND_EN,refined liquids industrial,refined liquids industrial,refined liquids industrial
IND_EN,delivered coal industry,delivered coal industry,delivered coal industry
IND_EN,wholesale gas,wholesale gas,wholesale gas
IND_EN,delivered biomass industry,delivered biomass industry,delivered biomass industry
IND_EN,H2 industrial,H2 delivery,H2 delivery
IND_EN,H2 industrial,forecourt production,electrolysis
ELEC_PV,electricity,solar,PV
ELEC_PV,electricity,solar,PV_storage
ELEC_WIND,electricity,wind,wind
ELEC_WIND,electricity,wind,wind_storage
ELEC_BIO,electricity,biomass,biomass (conv)
ELEC_BIO,electricity,biomass,biomass (IGCC)
ELEC_BIO,electricity,biomass,biomass (conv CCS)
ELEC_GEO,electricity,geothermal,geothermal
ELEC_ROOFTOP_PV,elect_td_bld,rooftop_pv,rooftop_pv
ELEC_WIND_OFFSHORE,electricity,wind,wind_offshore
