# File: A_OutputsByTech.csv,,,,,,,,,
# Title: Outputs by tech used for GDP intensity policies,,,,,,,,,
# Comments: Heavily filtered; could be even more filtered to just the needed sectors,,,,,,,,,
# Units: EJ,,,,,,,,,
# Column types: cccccnnnnc,,,,,,,,,
# ----------,,,,,,,,,
region,sector,subsector,output,technology,1990,2005,2010,2015,Units
Australia_NZ,refining,gas to liquids,refining,gas to liquids,0.0268719,0,0,0,EJ
Australia_NZ,refining,oil refining,oil-credits,oil refining,1.52515,2.08748,2.22397,2.44548,EJ
Australia_NZ,refining,oil refining,refining,oil refining,1.52515,2.08748,2.22397,2.44548,EJ
Australia_NZ,regional biomass,regional biomass,regional biomass,regional biomass,0.199171,0.271516,0.254995,0.264094,EJ
Australia_NZ,regional biomassOil,regional biomassOil,regional biomassOil,OilCrop,0,0,0.00237324,0.00526415,EJ
Australia_NZ,regional coal,domestic coal,regional coal,domestic coal,1.51476,2.23,2.17262,1.84118,EJ
Australia_NZ,regional coal,imported coal,regional coal,imported coal,0,0,0,0.0074859,EJ
Australia_NZ,regional corn for ethanol,regional corn for ethanol,regional corn for ethanol,regional corn for ethanol,0,7.95E-04,0.00489719,0.00535754,EJ
Australia_NZ,regional natural gas,domestic natural gas,regional natural gas,domestic natural gas,0.780514,1.03079,1.27696,1.4308,EJ
Australia_NZ,regional natural gas,imported natural gas,regional natural gas,imported natural gas,0,0,0,1.45E-04,EJ
Australia_NZ,regional oil,domestic crude oil,regional oil,domestic crude oil,1.30522,1.12461,1.22219,0.0429172,EJ
Australia_NZ,regional oil,imported crude oil,regional oil,imported crude oil,0.284848,1.01803,1.0842,2.53068,EJ
Australia_NZ,resid cooling,electricity,resid cooling,electricity,0.0300133,0.0452679,0.051171,0.0517392,EJ
Australia_NZ,resid heating,biomass,resid heating,biomass,0.0273993,0.0232595,0.0217919,0.0199443,EJ
Australia_NZ,resid heating,electricity,resid heating,electricity,0.00968586,0.0135568,0.0149476,0.0147417,EJ
Australia_NZ,resid heating,gas,resid heating,gas,0.0351532,0.0528254,0.0592607,0.067528,EJ
Australia_NZ,resid heating,gas,resid heating,hydrogen,0,0,0,0,EJ
Australia_NZ,resid heating,refined liquids,resid heating,refined liquids,0.00598787,0.00564917,0.00686231,0.00698145,EJ
Australia_NZ,resid others,biomass,N/A,biomass,0.00402084,0.00334936,0.00311262,0.00282544,EJ
Australia_NZ,resid others,biomass,resid others,biomass,0.00228327,0.00193829,0.001816,0.00166202,EJ
Australia_NZ,resid others,coal,N/A,coal,0.00207254,4.81E-04,2.51E-04,2.09E-04,EJ
Australia_NZ,resid others,coal,resid others,coal,0.00156892,3.72E-04,1.95E-04,1.64E-04,EJ
Australia_NZ,resid others,electricity,resid others,electricity,0.134088,0.19338,0.215357,0.214521,EJ
Australia_NZ,resid others,gas,N/A,gas,0.0185961,0.0270331,0.0299032,0.0336329,EJ
Australia_NZ,resid others,gas,N/A,hydrogen,0,0,0,0,EJ
Australia_NZ,resid others,gas,resid others,gas,0.020918,0.0314339,0.0352633,0.0401827,EJ
Australia_NZ,resid others,gas,resid others,hydrogen,0,0,0,0,EJ
Australia_NZ,resid others,refined liquids,resid others,refined liquids,0.00478007,0.00450966,0.0054781,0.0055732,EJ
Australia_NZ,wholesale gas,wholesale gas,wholesale gas,wholesale gas,0.408843,0.56042,0.626924,0.708332,EJ
China,H2 central production,biomass,H2 central production,biomass to H2,0,0,0,0,EJ
China,H2 central production,electricity,H2 central production,electrolysis,0,0,0,0,EJ
China,H2 central production,gas,H2 central production,natural gas steam reforming,0,0,0,0,EJ
China,H2 central production,nuclear,H2 central production,thermal splitting,0,0,0,0,EJ
China,H2 central production,solar,H2 central production,electrolysis,0,0,0,0,EJ
China,H2 central production,wind,H2 central production,electrolysis,0,0,0,0,EJ
China,H2 industrial,H2 delivery,H2 industrial,H2 delivery,0,0,0,0,EJ
China,H2 industrial,forecourt production,H2 industrial,electrolysis,0,0,0,0,EJ
China,H2 liquid truck,H2 liquid truck,H2 liquid truck,H2 liquid truck,0,0,0,0,EJ
China,H2 pipeline,H2 pipeline,H2 pipeline,H2 pipeline,0,0,0,0,EJ
China,H2 retail delivery,H2 retail delivery,H2 retail delivery,H2 retail delivery,0,0,0,0,EJ
China,H2 retail dispensing,H2 retail dispensing,H2 retail dispensing,H2 retail dispensing,0,0,0,0,EJ
China,H2 wholesale delivery,H2 liquid truck,H2 wholesale delivery,H2 liquid truck,0,0,0,0,EJ
China,H2 wholesale delivery,H2 pipeline,H2 wholesale delivery,H2 pipeline,0,0,0,0,EJ
China,H2 wholesale dispensing,H2 delivery,H2 wholesale dispensing,H2 liquid truck,0,0,0,0,EJ
China,H2 wholesale dispensing,H2 delivery,H2 wholesale dispensing,H2 pipeline,0,0,0,0,EJ
China,H2 wholesale dispensing,forecourt production,H2 wholesale dispensing,electrolysis,0,0,0,0,EJ
China,H2 wholesale dispensing,forecourt production,H2 wholesale dispensing,natural gas steam reforming,0,0,0,0,EJ
China,agricultural energy use,mobile,agricultural energy use,electricity,0,0,0,0,EJ
China,agricultural energy use,mobile,agricultural energy use,hydrogen,0,0,0,0,EJ
China,agricultural energy use,mobile,agricultural energy use,refined liquids,0.473321,0.487657,0.467378,0.590329,EJ
China,agricultural energy use,stationary,agricultural energy use,coal,0.370541,0.345759,0.409613,0.503522,EJ
China,agricultural energy use,stationary,agricultural energy use,electricity,0.149176,0.27942,0.353222,0.378021,EJ
China,agricultural energy use,stationary,agricultural energy use,gas,0.00359159,0,0.00156295,0.00295306,EJ
China,agricultural energy use,stationary,agricultural energy use,heat,0,5.44E-04,9.21E-04,0.0010465,EJ
China,agricultural energy use,stationary,agricultural energy use,refined liquids,0.11833,0.121914,0.116844,0.147582,EJ
China,backup_electricity,gas,backup_electricity,gas (steam/CT),0,0,0,0,EJ
China,chemical,chemical,chemical,chemical,1.71052,4.87887,7.20164,9.50496,EJ
China,chemical energy use,coal,chemical energy use,coal,0.450647,1.70904,2.20673,2.78397,EJ
China,chemical energy use,electricity,chemical energy use,electricity,0.293587,0.905641,1.32623,1.97445,EJ
China,chemical energy use,gas,chemical energy use,gas,0,0.0920458,0.229925,0.341038,EJ
China,chemical energy use,heat,chemical energy use,heat,0.194984,0.54012,0.762019,1.12603,EJ
China,chemical energy use,hydrogen,chemical energy use,hydrogen,0,0,0,0,EJ
China,chemical energy use,refined liquids,chemical energy use,refined liquids,0.106392,0.154705,0.700456,0.430457,EJ
China,chemical feedstocks,gas,chemical feedstocks,gas,0.1202,0.168946,0.135703,0.237245,EJ
China,chemical feedstocks,refined liquids,chemical feedstocks,refined liquids,0.544713,1.30838,1.84058,2.61177,EJ
