# File: A_CTax.csv,,,,,,,,,,,,,,,,,,,,,,
# Title: Carbon taxes by region,,,,,,,,,,,,,,,,,,,,,,
# Units: 1990$/tC,,,,,,,,,,,,,,,,,,,,,,
# Comments: link.type needs to correspoond to a link.type in A_Ctax_Link; give different ghgpolicy names for different regions if not linked; market.overwrite writes the region name to the market name,,,,,,,,,,,,,,,,,,,,,,
# Leave tax empty for all but 1 linked regions (same ghgpolicy),,,,,,,,,,,,,,,,,,,,,,
# Column types: cccciinnnnnnnnnnnnnnnnn,,,,,,,,,,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,,,,,,,,,,
xml,link.type,market,ghgpolicy,year.fillout,market.overwrite,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
price_nonco2_mac_NDC.xml,,China,nonCO2,,,10,35,60,87.4456215,97.14353468,105.4219695,113.2030928,123.1433289,134.3619547,145.8886049,157.461637,170.1691192,182.2362767,193.4484133,200.5406047,208.3300843,225.033968
price_nonco2_mac_NDC.xml,,Colombia,nonCO2,,,0,150,245.082,264.0713571,280.8867298,296.7142043,312.3500341,327.5984914,342.2149208,378.7950014,417.9443068,460.3942765,510.1520187,568.5660496,630.8667337,696.0680687,765.2249273
price_nonco2_mac_NDC.xml,,EU,nonCO2,,,110.102,220.339,257.719,274.6634378,295.4279512,318.8578443,344.5220704,372.7645835,404.314041,438.8316999,474.9668276,510.4071249,548.271524,590.2044829,635.1230325,684.2092778,737.8436606
price_nonco2_mac_NDC.xml,,Europe_Eastern,nonCO2,,,0,19.4811,47.3769,56.09761343,64.65118599,73.38279021,82.24968937,92.14305465,103.5995786,116.8128532,131.9934643,148.0139839,164.1196481,179.0645901,193.3425429,211.9794954,234.586859
price_nonco2_mac_NDC.xml,,Europe_Non_EU,nonCO2,,,1.33697,41.9902,43.9087,49.99132888,55.44912793,60.83307409,66.47399939,72.29376064,78.8103807,86.23271694,94.35113352,102.61304,111.3818215,120.6282902,129.8718253,139.2884553,150.7571518
price_nonco2_mac_NDC.xml,,European Free Trade Association,nonCO2,,,110.102,294.552,623.925,656.5834158,687.0262445,719.1045342,754.7897713,798.5376999,847.6992357,911.6377191,974.2336964,1035.781142,1104.697295,1179.796509,1261.416677,1355.0689,1462.588377
price_nonco2_mac_NDC.xml,,India,nonCO2,,,1,3,4.5,7.977112316,9.312526113,10.61134931,11.92597794,13.3508909,14.92916178,16.95941968,19.12538636,21.42493802,23.84606513,26.47908391,29.30303903,32.38103573,35.68532835
price_nonco2_mac_NDC.xml,,Indonesia,nonCO2,,,0.714618,0,2.51E-05,1.163464509,1.32782061,1.497944039,1.67749363,1.868584776,2.073963426,2.377256604,2.695042414,3.024850059,3.396872991,3.784667949,4.189685185,4.630948099,5.100136927
price_nonco2_mac_NDC.xml,,Japan,nonCO2,,,7.29435,249.195,286.188,303.6017865,320.451826,337.8734519,354.7826895,374.5223857,400.4775526,430.5270714,462.7058677,494.8001004,527.4895304,564.3276048,606.1538535,654.3816987,708.0672064
price_nonco2_mac_NDC.xml,,Mexico,nonCO2,,,1,115.56,130,230.3397758,247.6287026,266.0903466,286.2605958,307.3053993,329.1751265,363.0296307,400.08497,439.0363212,481.6963128,526.320498,573.8491246,628.6255425,692.5241321
price_nonco2_mac_NDC.xml,,Middle East,nonCO2,,,1,233.981,281.738,302.5306811,321.5218609,339.7460793,358.6871546,381.0929157,409.6823004,444.1575977,482.167803,525.7260547,576.0631846,632.5259164,691.669605,758.9643811,837.0575472
price_nonco2_mac_NDC.xml,,Pakistan,nonCO2,,,,,,1.19332442,1.437306777,1.746700154,2.125921534,2.579694464,3.109852505,3.733940032,4.468780943,5.30940124,6.216953936,7.230209641,8.34784592,9.609720608,10.98928616
price_nonco2_mac_NDC.xml,,Russia,nonCO2,,,1.00547,35.238,58.3366,62.11620158,65.19765701,67.78704988,69.88450761,72.98840297,78.11380739,84.327456,90.61008485,97.11286049,103.5186314,110.4903324,117.1308238,124.4764124,133.3930567
price_nonco2_mac_NDC.xml,,South Africa,nonCO2,,,4.52723,99.5076,157.33,175.6525734,195.1432005,214.2495289,235.8824283,261.0673484,288.9537189,314.7379117,342.7240555,374.3065438,408.5896068,441.6108401,475.7477202,512.4742432,551.6490245
price_nonco2_mac_NDC.xml,,South America_Northern,nonCO2,,,,,,1.116704556,1.24082934,1.397294379,1.586256168,1.802529865,2.035131413,2.27523501,2.538667045,2.845085645,3.161644449,3.461534774,3.781488967,4.134254159,4.532759954
price_nonco2_mac_NDC.xml,,South America_Southern,nonCO2,,,0,40.0014,101.6,112.6773316,124.6906604,137.7098523,152.0311335,168.03551,185.5038175,206.9717508,230.4487964,256.0401229,284.5379411,314.6032008,345.6817097,379.3545724,415.4617859
price_nonco2_mac_NDC.xml,,South Asia,nonCO2,,,,,,1.19690121,1.435176773,1.713312743,2.024749011,2.388023657,2.809717352,3.29110455,3.842713296,4.466082076,5.146002005,5.893077867,6.769509797,7.754653712,8.831305649
price_nonco2_mac_NDC.xml,,South Korea,nonCO2,,,17.1129,213.917,340.197,361.3853846,375.2199581,387.7281517,399.3019692,417.214716,433.8634925,464.7247652,494.8758533,520.1691602,547.1469933,584.9204979,615.763876,659.7476214,718.9905361
price_nonco2_mac_NDC.xml,,Southeast Asia,nonCO2,,,0,40.0623,78.8826,90.49480867,103.2835717,117.599292,133.1444896,150.4987039,170.0129582,192.3373156,216.9793699,243.5540256,273.4617394,306.01671,341.3231436,380.0343162,422.0761178
price_nonco2_mac_NDC.xml,,Taiwan,nonCO2,,,,,,1.081447025,1.166821863,1.248577102,1.321102105,1.385579302,1.457028725,1.587267231,1.729630228,1.878399948,2.028714208,2.167200643,2.289383581,2.39200455,2.47394219
price_nonco2_mac_NDC.xml,,USA,nonCO2,,,129.101,230.116,295.771,311.1857292,324.5211301,339.5524261,356.3321672,375.1072949,393.9765092,408.353711,420.2258637,430.6710956,443.3729917,458.3304081,474.6558508,494.1002111,516.3606414
price_nonco2_mac_LTT.xml,,Africa_Eastern,nonCO2,,,0,8.16286,17.2506,20.88688497,25.63845785,31.6931784,39.27348312,48.65266753,60.17097406,74.2278081,91.14253618,111.1649753,134.4805666,161.2609079,192.1636105,227.4097771,267.0744564
price_nonco2_mac_LTT.xml,,Africa_Northern,nonCO2,,,,,,1.198866628,1.40592689,1.628418478,1.874701283,2.163776212,2.504213842,2.884431321,3.285481186,3.705806975,4.155426094,4.632813648,5.113130265,5.621634538,6.179557948
price_nonco2_mac_LTT.xml,,Africa_Southern,nonCO2,,,0,29.6316,68.1116,115.724,174.882,270.058,376.128,487.141,575.831,600,600,600,600,600,600,600,600
price_nonco2_mac_LTT.xml,,Africa_Western,nonCO2,,,0,44.1549,68.0438,122.394,189.356,281.582,385.168,502.295,598.697,600,600,600,600,600,600,600,600
