# File: A_CCap_Constraint.csv,,,,,,,,,,,,,,,,,,,,,,,
# Title: Carbon caps for specific industries,,,,,,,,,,,,,,,,,,,,,,,
# Units: MTC,,,,,,,,,,,,,,,,,,,,,,,
# Comments: For linked regions (share same market/policy/constraint) only include the constraint for one region,,,,,,,,,,,,,,,,,,,,,,,
#  If using GDP intensity base year  in GDPIntensity_BaseYear column (must be historical year); then percent change in year columns,,,,,,,,,,,,,,,,,,,,,,,
# Column types: ccccciinnnnnnnnnnnnnnnnn,,,,,,,,,,,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,,,,,,,,,,,
xml,market,ghgpolicy,link.type,mapping.name,year.fillout,GDPIntensity_BaseYear,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
policy_GHG_constraint_post2030_CP_nonzero.xml,Russia,GHG,ALL_GHG,,,,,,,2578.514518,2674.509802,2735.141177,2773.887097,2787.608314,2829.131913,2933.64774,3065.017768,3188.958371,,,,,
policy_GHG_constraint_post2030_CP_nonzero.xml,South America_Southern,GHG,ALL_GHG,,,,,,,828.9586726,937.573156,1051.832668,1170.617719,,,,,,,,,,
policy_GHG_constraint_post2030_CP_nonzero.xml,South Korea,GHG,ALL_GHG,,,,,,,,,,539.3812535,481.5724412,431.5382587,381.8123275,346.6757382,312.2908901,277.3397902,246.3692836,222.2961788,197.3663441,178.5819302
policy_GHG_constraint_post2030_CP_nonzero.xml,USA,GHG,ALL_GHG,,,,,,,4951.589357,4693.516498,4393.179879,4107.780367,3836.848713,3585.356903,3341.351336,3074.727858,2809.83581,2554.61435,2328.343195,2126.682102,1944.044431,1785.768397
policy_GHG_constraint_2030_NDC_withCP.xml,Africa_Eastern,GHG,ALL_GHG,,,,,880.3181858,998.8373524,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_withCP.xml,Africa_Northern,GHG,ALL_GHG,,,,,1045.671403,1162.679958,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_withCP.xml,Africa_Southern,GHG,ALL_GHG,,,,,653.4103983,587.205093,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_withCP.xml,Africa_Western,GHG,ALL_GHG,,,,,1455.233588,1385.581013,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_withCP.xml,Argentina,GHG,ALL_GHG,,,,,401.9143388,349,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_withCP.xml,Australia_NZ,GHG,ALL_GHG,,,,,559.4280203,362,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_withCP.xml,Brazil,GHG,ALL_GHG,,,,1689.550349,1432.775175,1176,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_withCP.xml,Canada,GHG,ALL_GHG,,,,556.2328906,497.1164453,438,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_withCP.xml,Central America and Caribbean,GHG,ALL_GHG,,,,,359.8988001,336.8569778,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_withCP.xml,Central Asia,GHG,ALL_GHG,,,,,807.5459166,837.1278718,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_withCP.xml,China,CO2,CO2_FFI,,,,11889.25382,12026.30127,12163.34872,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_withCP.xml,Colombia,GHG,ALL_GHG,,,,245.350646,207.425323,169.5,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_withCP.xml,EU,GHG,ALL_GHG,,,,3688.88673,2995.443365,2302,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_withCP.xml,Europe_Eastern,GHG,ALL_GHG,,,,,514.4554728,479,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_withCP.xml,Europe_Non_EU,GHG,ALL_GHG,,,,704.8070007,742.4035004,780,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_withCP.xml,European Free Trade Association,GHG,ALL_GHG,,,,,436.8581541,312,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_withCP.xml,India,GHG,ALL_GHG,,,,4081.51297,4858.200248,5634.887525,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_withCP.xml,Indonesia,GHG,ALL_GHG,,,,1422.535839,1688.30587,1954.0759,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_withCP.xml,Japan,GHG,ALL_GHG,,,,1254.795845,1007.397923,760,,,,,,,,,,,,,,
