# File: A_InputTaxesSubsidies.csv,,,,,,,,,,,,,
# Title: Taxes/Subsidies for Specific Technologies,,,,,,,,,,,,,
# Units: 1975$/GJ or 1975$/kg,,,,,,,,,,,,,
# Comments: Positive for tax, negative for subsidy,,,,,,,,,,,,
# Column types: ccccccnnnnnnnn,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,
xml,region,supplysector,subsector,stub.technology,minicam.non.energy.input,2020,2025,2030,2035,2040,2045,2050,2100
CBAM_allowances,USA,traded med-carbon iron and steel_OECD,Africa_Eastern traded med-carbon iron and steel_OECD,Africa_Eastern traded med-carbon iron and steel_OECD,CBAM,,0.019272248,0.022794127,0.028731676,0.033403443,0.03669381,0.043750174,
CBAM_allowances,USA,traded high-carbon iron and steel_OECD,Africa_Northern traded high-carbon iron and steel_OECD,Africa_Northern traded high-carbon iron and steel_OECD,CBAM,,0.031844752,0.05735156,0.081151865,0.096156498,0.102464989,0.117757431,
CBAM_allowances,USA,traded low-carbon iron and steel_OECD,Africa_Northern traded low-carbon iron and steel_OECD,Africa_Northern traded low-carbon iron and steel_OECD,CBAM,,0.004813817,0.00606045,0.007841011,0.009106678,0.009914551,0.011686441,
CBAM_allowances,USA,traded med-carbon iron and steel_OECD,Africa_Northern traded med-carbon iron and steel_OECD,Africa_Northern traded med-carbon iron and steel_OECD,CBAM,,0.019599164,0.023494984,0.030036834,0.035280114,0.039078812,0.046891674,
CBAM_allowances,USA,traded high-carbon iron and steel_OECD,Africa_Southern traded high-carbon iron and steel_OECD,Africa_Southern traded high-carbon iron and steel_OECD,CBAM,,0.061364719,0.057154191,0.068977202,0.079088856,0.086300555,0.102513588,
CBAM_allowances,USA,traded low-carbon iron and steel_OECD,Africa_Southern traded low-carbon iron and steel_OECD,Africa_Southern traded low-carbon iron and steel_OECD,CBAM,,0.003649565,0.004574296,0.00607904,0.007192824,0.008117405,0.009977312,
CBAM_allowances,USA,traded med-carbon iron and steel_OECD,Africa_Southern traded med-carbon iron and steel_OECD,Africa_Southern traded med-carbon iron and steel_OECD,CBAM,,0.018911009,0.021535095,0.027195856,0.031868791,0.035335591,0.042473802,
CBAM_allowances,USA,traded high-carbon iron and steel_OECD,Africa_Western traded high-carbon iron and steel_OECD,Africa_Western traded high-carbon iron and steel_OECD,CBAM,,0.058899122,0.065830722,0.08085291,0.091862297,0.097916539,0.112997663,
CBAM_allowances,USA,traded low-carbon iron and steel_OECD,Africa_Western traded low-carbon iron and steel_OECD,Africa_Western traded low-carbon iron and steel_OECD,CBAM,,0.004622244,0.004875533,0.005994324,0.007025931,0.007917817,0.009768096,
CBAM_allowances,USA,traded med-carbon iron and steel_OECD,Africa_Western traded med-carbon iron and steel_OECD,Africa_Western traded med-carbon iron and steel_OECD,CBAM,,0.01909704,0.022301805,0.027950041,0.032483268,0.035703307,0.042624345,
CBAM_allowances,USA,traded high-carbon iron and steel_OECD,Brazil traded high-carbon iron and steel_OECD,Brazil traded high-carbon iron and steel_OECD,CBAM,,0.042334935,0.059680024,0.083138076,0.101706692,0.110311327,0.128015409,
CBAM_allowances,USA,traded low-carbon iron and steel_OECD,Brazil traded low-carbon iron and steel_OECD,Brazil traded low-carbon iron and steel_OECD,CBAM,,0.004951685,0.005926172,0.007428373,0.008466108,0.009219878,0.011025683,
CBAM_allowances,USA,traded med-carbon iron and steel_OECD,Brazil traded med-carbon iron and steel_OECD,Brazil traded med-carbon iron and steel_OECD,CBAM,,0.019163552,0.021443409,0.02686887,0.031133436,0.034237599,0.040960368,
CBAM_allowances,USA,traded high-carbon iron and steel_OECD,Central America and Caribbean traded high-carbon iron and steel_OECD,Central America and Caribbean traded high-carbon iron and steel_OECD,CBAM,,0.058734566,0.066933675,0.083449859,0.095933365,0.103850496,0.121387895,
CBAM_allowances,USA,traded low-carbon iron and steel_OECD,Central America and Caribbean traded low-carbon iron and steel_OECD,Central America and Caribbean traded low-carbon iron and steel_OECD,CBAM,,0.005278687,0.006228854,0.007841515,0.008991014,0.009730488,0.011439485,
CBAM_allowances,USA,traded med-carbon iron and steel_OECD,Central America and Caribbean traded med-carbon iron and steel_OECD,Central America and Caribbean traded med-carbon iron and steel_OECD,CBAM,,0.019275792,0.022892469,0.029010889,0.033818177,0.037179018,0.044283779,
CBAM_allowances,USA,traded high-carbon iron and steel_OECD,Central Asia traded high-carbon iron and steel_OECD,Central Asia traded high-carbon iron and steel_OECD,CBAM,,0.058629919,0.069647616,0.088072462,0.101972565,0.110815648,0.128895609,
CBAM_allowances,USA,traded low-carbon iron and steel_OECD,Central Asia traded low-carbon iron and steel_OECD,Central Asia traded low-carbon iron and steel_OECD,CBAM,,0.005119178,0.005807207,0.007107877,0.008116487,0.008919081,0.010747919,
CBAM_allowances,USA,traded med-carbon iron and steel_OECD,Central Asia traded med-carbon iron and steel_OECD,Central Asia traded med-carbon iron and steel_OECD,CBAM,,0.019184671,0.021476764,0.026835858,0.031145967,0.034323004,0.04114406,
CBAM_allowances,USA,traded high-carbon iron and steel_OECD,China traded high-carbon iron and steel_OECD,China traded high-carbon iron and steel_OECD,CBAM,,0.058628715,0.069835693,0.088589948,0.102562991,0.111535652,0.130591978,
CBAM_allowances,USA,traded low-carbon iron and steel_OECD,China traded low-carbon iron and steel_OECD,China traded low-carbon iron and steel_OECD,CBAM,,0.00520904,0.006252854,0.007932877,0.009146207,0.009969782,0.011832727,
CBAM_allowances,USA,traded med-carbon iron and steel_OECD,China traded med-carbon iron and steel_OECD,China traded med-carbon iron and steel_OECD,CBAM,,0.019329666,0.021483301,0.026793769,0.031042297,0.034188129,0.040955088,
CBAM_allowances,USA,traded high-carbon iron and steel_OECD,Europe_Eastern traded high-carbon iron and steel_OECD,Europe_Eastern traded high-carbon iron and steel_OECD,CBAM,,0.058624269,0.069599305,0.088466923,0.102965515,0.11255039,0.131798729,
CBAM_allowances,USA,traded low-carbon iron and steel_OECD,Europe_Eastern traded low-carbon iron and steel_OECD,Europe_Eastern traded low-carbon iron and steel_OECD,CBAM,,0.005320236,0.00629046,0.008020976,0.00933288,0.010250326,0.012228567,
CBAM_allowances,USA,traded med-carbon iron and steel_OECD,Europe_Eastern traded med-carbon iron and steel_OECD,Europe_Eastern traded med-carbon iron and steel_OECD,CBAM,,0.01925715,0.02199424,0.027847207,0.03234575,0.035491623,0.042352344,
CBAM_allowances,USA,traded high-carbon iron and steel_OECD,India traded high-carbon iron and steel_OECD,India traded high-carbon iron and steel_OECD,CBAM,,0.058773286,0.070109722,0.088945063,0.103019351,0.111758046,0.130076347,
CBAM_allowances,USA,traded low-carbon iron and steel_OECD,India traded low-carbon iron and steel_OECD,India traded low-carbon iron and steel_OECD,CBAM,,0.005260049,0.006343329,0.008186747,0.009637757,0.010672257,0.012760097,
CBAM_allowances,USA,traded med-carbon iron and steel_OECD,India traded med-carbon iron and steel_OECD,India traded med-carbon iron and steel_OECD,CBAM,,0.019718478,0.023498868,0.029896562,0.034924387,0.038502558,0.0460213,
CBAM_allowances,USA,traded high-carbon iron and steel_OECD,Indonesia traded high-carbon iron and steel_OECD,Indonesia traded high-carbon iron and steel_OECD,CBAM,,0.058639871,0.069595075,0.088348574,0.102617553,0.111779473,0.131030114,
CBAM_allowances,USA,traded low-carbon iron and steel_OECD,Indonesia traded low-carbon iron and steel_OECD,Indonesia traded low-carbon iron and steel_OECD,CBAM,,0.005267414,0.006202824,0.007828911,0.008917995,0.009555917,0.0110661,
CBAM_allowances,USA,traded med-carbon iron and steel_OECD,Indonesia traded med-carbon iron and steel_OECD,Indonesia traded med-carbon iron and steel_OECD,CBAM,,0.01947549,0.022382666,0.028016053,0.032414027,0.035663843,0.042733696,
CBAM_allowances,USA,traded high-carbon iron and steel_OECD,Middle East traded high-carbon iron and steel_OECD,Middle East traded high-carbon iron and steel_OECD,CBAM,,0.059293904,0.069331227,0.086440948,0.098892437,0.106649096,0.124558925,
CBAM_allowances,USA,traded low-carbon iron and steel_OECD,Middle East traded low-carbon iron and steel_OECD,Middle East traded low-carbon iron and steel_OECD,CBAM,,0.005275655,0.006335478,0.008107186,0.00947825,0.010452668,0.01250056,
CBAM_allowances,USA,traded med-carbon iron and steel_OECD,Middle East traded med-carbon iron and steel_OECD,Middle East traded med-carbon iron and steel_OECD,CBAM,,0.019700664,0.023491697,0.029838887,0.034816397,0.038334974,0.045689011,
CBAM_allowances,USA,traded high-carbon iron and steel_OECD,Pakistan traded high-carbon iron and steel_OECD,Pakistan traded high-carbon iron and steel_OECD,CBAM,,0.058682611,0.066557189,0.083009218,0.095476377,0.103481113,0.12118517,
CBAM_allowances,USA,traded low-carbon iron and steel_OECD,Pakistan traded low-carbon iron and steel_OECD,Pakistan traded low-carbon iron and steel_OECD,CBAM,,0.005302843,0.00623692,0.007861841,0.009027262,0.009810448,0.011572062,
CBAM_allowances,USA,traded med-carbon iron and steel_OECD,Pakistan traded med-carbon iron and steel_OECD,Pakistan traded med-carbon iron and steel_OECD,CBAM,,0.019270987,0.022811013,0.028888552,0.033675407,0.037100891,0.044374948,
CBAM_allowances,USA,traded high-carbon iron and steel_OECD,Russia traded high-carbon iron and steel_OECD,Russia traded high-carbon iron and steel_OECD,CBAM,,0.058672515,0.06980953,0.088856538,0.103463743,0.113046787,0.132869605,
CBAM_allowances,USA,traded low-carbon iron and steel_OECD,Russia traded low-carbon iron and steel_OECD,Russia traded low-carbon iron and steel_OECD,CBAM,,0.005291613,0.006296778,0.008053151,0.009394363,0.01034557,0.012366657,
CBAM_allowances,USA,traded med-carbon iron and steel_OECD,Russia traded med-carbon iron and steel_OECD,Russia traded med-carbon iron and steel_OECD,CBAM,,0.019710785,0.023239005,0.029392376,0.034051328,0.037257154,0.044242217,
CBAM_allowances,USA,traded high-carbon iron and steel_OECD,South Africa traded high-carbon iron and steel_OECD,South Africa traded high-carbon iron and steel_OECD,CBAM,,0.058629878,0.069444496,0.088008489,0.102051545,0.110918257,0.129108141,
CBAM_allowances,USA,traded low-carbon iron and steel_OECD,South Africa traded low-carbon iron and steel_OECD,South Africa traded low-carbon iron and steel_OECD,CBAM,,0.005228007,0.005867197,0.00703344,0.00772628,0.008196796,0.009584971,
CBAM_allowances,USA,traded med-carbon iron and steel_OECD,South Africa traded med-carbon iron and steel_OECD,South Africa traded med-carbon iron and steel_OECD,CBAM,,0.019215571,0.021283591,0.026706658,0.031054396,0.034323167,0.041302093,
CBAM_allowances,USA,traded high-carbon iron and steel_OECD,South America_Northern traded high-carbon iron and steel_OECD,South America_Northern traded high-carbon iron and steel_OECD,CBAM,,0.001792596,0.062268025,0.079915608,0.092117107,0.099153833,0.114652201,
CBAM_allowances,USA,traded low-carbon iron and steel_OECD,South America_Northern traded low-carbon iron and steel_OECD,South America_Northern traded low-carbon iron and steel_OECD,CBAM,,0.004265169,0.005378307,0.007269259,0.008433041,0.009125716,0.01074168,
CBAM_allowances,USA,traded med-carbon iron and steel_OECD,South America_Northern traded med-carbon iron and steel_OECD,South America_Northern traded med-carbon iron and steel_OECD,CBAM,,0.019534955,0.023308478,0.02893021,0.033403045,0.036562971,0.0432555,
CBAM_allowances,USA,traded high-carbon iron and steel_OECD,South America_Southern traded high-carbon iron and steel_OECD,South America_Southern traded high-carbon iron and steel_OECD,CBAM,,0.058689052,0.067481746,0.08265013,0.093032556,0.098991135,0.113705162,
CBAM_allowances,USA,traded low-carbon iron and steel_OECD,South America_Southern traded low-carbon iron and steel_OECD,South America_Southern traded low-carbon iron and steel_OECD,CBAM,,0.005287741,0.006226312,0.007835711,0.00896986,0.009681468,0.011310448,
