# File: EURef2020_elec_params.csv
# Title: Technology cost assumptions by year from EU Reference Scenario 2020
# Units: 2015 Euros or specified
# Source: https://energy.ec.europa.eu/data-and-analysis/energy-modelling/eu-reference-scenario-2020_en
# Users can specify how technologies are mapped to GCAM technologies in energy/mappings/EURef2020_elec_gcam_mapping.csv.
# Column types: cccnnnn
# ----------
tech_type,variable,Units,2020,2030,2040,2050
"Wind-offshore - shallow waters, near-shore, low resource area","Fixed Operation and Maintenance costs, annually",EUR/kW,33,27,26,26
"Wind-offshore - shallow waters, near-shore, low resource area",Variable non fuel cost,EUR/kW,0.393,0.393,0.393,0.393
"Wind-offshore - shallow waters, near-shore, low resource area","Electrical Efficiency (net) 
in optimal load operation",ratio,1,1,1,1
"Wind-offshore - shallow waters, near-shore, low resource area",Technical lifetime,Years,30,30,30,30
"Wind-offshore - shallow waters, near-shore, high resource area","Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,1750.2775724402827,1592.886787486415,1512.7317808895364,1431.5
"Wind-offshore - shallow waters, near-shore, high resource area","Fixed Operation and Maintenance costs, annually",EUR/kW,33,27,26,26
"Wind-offshore - shallow waters, near-shore, high resource area",Variable non fuel cost,EUR/kW,0.393,0.393,0.393,0.393
"Wind-offshore - shallow waters, near-shore, high resource area","Electrical Efficiency (net) 
in optimal load operation",ratio,1,1,1,1
"Wind-offshore - shallow waters, near-shore, high resource area",Technical lifetime,Years,30,30,30,30
"Wind-offshore - shallow waters, distant from shore, low resource area","Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,2000.8461727803615,1897.5580286028935,1843.241076902564,1786.8935847643133
"Wind-offshore - shallow waters, distant from shore, low resource area","Fixed Operation and Maintenance costs, annually",EUR/kW,42,31,29,28
"Wind-offshore - shallow waters, distant from shore, low resource area",Variable non fuel cost,EUR/kW,0.393,0.393,0.393,0.393
"Wind-offshore - shallow waters, distant from shore, low resource area","Electrical Efficiency (net) 
in optimal load operation",ratio,1,1,1,1
"Wind-offshore - shallow waters, distant from shore, low resource area",Technical lifetime,Years,30,30,30,30
"Wind-offshore - shallow waters, distant from shore, high resource area","Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,1975.8653897233535,1873.8668093100368,1820.2280106857424,1764.5840231427285
"Wind-offshore - shallow waters, distant from shore, high resource area","Fixed Operation and Maintenance costs, annually",EUR/kW,42,31,29,28
"Wind-offshore - shallow waters, distant from shore, high resource area",Variable non fuel cost,EUR/kW,0.393,0.393,0.393,0.393
"Wind-offshore - shallow waters, distant from shore, high resource area","Electrical Efficiency (net) 
in optimal load operation",ratio,1,1,1,1
"Wind-offshore - shallow waters, distant from shore, high resource area",Technical lifetime,Years,30,30,30,30
"Wind-offshore - deep waters, near-shore, low resource area","Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,2552.204843329653,2406.2418022607303,2329.8336067759824,2250.833103448276
"Wind-offshore - deep waters, near-shore, low resource area","Fixed Operation and Maintenance costs, annually",EUR/kW,48,37,35,34
"Wind-offshore - deep waters, near-shore, low resource area",Variable non fuel cost,EUR/kW,0.393,0.393,0.393,0.393
"Wind-offshore - deep waters, near-shore, low resource area","Electrical Efficiency (net) 
in optimal load operation",ratio,1,1,1,1
"Wind-offshore - deep waters, near-shore, low resource area",Technical lifetime,Years,30,30,30,30
"Wind-offshore - deep waters, near-shore, high resource area","Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,2420.0704747819173,2295.1410366674627,2229.4434068954247,2161.28979073697
"Wind-offshore - deep waters, near-shore, high resource area","Fixed Operation and Maintenance costs, annually",EUR/kW,48,37,35,34
"Wind-offshore - deep waters, near-shore, high resource area",Variable non fuel cost,EUR/kW,0.393,0.393,0.393,0.393
"Wind-offshore - deep waters, near-shore, high resource area","Electrical Efficiency (net) 
in optimal load operation",ratio,1,1,1,1
"Wind-offshore - deep waters, near-shore, high resource area",Technical lifetime,Years,30,30,30,30
"Wind-offshore - deep waters, distant from shore, low resource area","Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,2600.9966702997367,2466.727418249383,2396.118186797537,2322.8693576645746
"Wind-offshore - deep waters, distant from shore, low resource area","Fixed Operation and Maintenance costs, annually",EUR/kW,55,43,40,39
"Wind-offshore - deep waters, distant from shore, low resource area",Variable non fuel cost,EUR/kW,0.393,0.393,0.393,0.393
"Wind-offshore - deep waters, distant from shore, low resource area","Electrical Efficiency (net) 
in optimal load operation",ratio,1,1,1,1
